URN,schname,pcode_fixed,latitude,longitude
136722,Backwell School,BS48 3BX,51.416241,-2.739437
145313,Bacon's College,SE16 6AT,51.502361,-0.0423
150261,Bacup and Rawtenstall Grammar School,BB4 7BJ,53.693432,-2.247403
147864,Bader Special Academy,DN3 2EW,53.553256,-1.080064
109337,Badminton School,BS9 3BA,51.485322,-2.618528
103765,Baginton Fields School,CV3 4EA,52.381091,-1.474539
136258,Bahr Academy,NE4 6PR,54.971155,-1.639873
119813,Baines School,FY6 8BE,53.836439,-2.994262
136474,Balcarras School,GL53 8QF,51.881344,-2.044205
101181,Bales College,W10 4AA,51.529067,-0.215875
116524,Ballard School,BH25 5SU,50.762131,-1.659156
119775,Balshaw's Church of England High School,PR25 3AH,53.687604,-2.68622
108738,Bamburgh School,NE34 7TD,54.984544,-1.400152
102875,Bancroft's School,IG8 0RF,51.619676,0.026654
133441,Bank View High School,L9 6AD,53.455661,-2.929907
148346,Banks House School,NR5 9HA,52.637203,1.21718
149911,Bankside School,WR8 0AD,52.104282,-2.240695
138530,Barbara Priestman Academy,SR2 7QN,54.894986,-1.396653
144623,Barclay Academy,SG1 3RB,51.914582,-0.202612
146683,Bardwell School,OX26 4RZ,51.910562,-1.142329
101241,"Barking Abbey School, A Specialist Sports and Humanities College",IG11 9AG,51.543667,0.102495
144929,Barlby High School,YO8 5JP,53.803297,-1.039216
113636,Barley Lane School,EX4 1TA,50.714577,-3.56024
114336,Barnard Castle School,DL12 8UN,54.541409,-1.911494
122384,Barndale House School,NE66 1DQ,55.414984,-1.712886
137844,Barnhill Community High School,UB4 9LE,51.530412,-0.398891
131749,Barnsley Academy,S70 3DL,53.538869,-1.451824
130524,Barnsley College,S70 2AX,53.556656,-1.482555
117518,Barnwell School,SG2 9SW,51.889416,-0.173462
115720,Barnwood Park School,GL4 3QU,51.857,-2.209
136885,Barr Beacon School,WS9 0RF,52.562539,-1.915459
142339,Barr's Hill School,CV1 4BU,52.415215,-1.51608
139607,Barrs Court School,HR1 1EQ,52.061196,-2.706781
137919,Bartholomew School,OX29 4AP,51.782181,-1.381035
136589,Bartley Green School,B32 3QJ,52.43636,-1.997956
137474,Barton Court Grammar School,CT1 1PH,51.276796,1.091167
149039,Barton Manor School,CT1 1SU,51.273385,1.100331
103606,Baskerville School,B17 9TS,52.459172,-1.966636
137427,Bassingbourn Village College,SG8 5NJ,52.076394,-0.058348
136265,Baston House School,BR2 7AB,51.37188,0.023034
117674,Batchwood School,AL3 5RP,51.76504,-0.339897
138147,Bath Academy,BA1 2HX,51.383911,-2.363978
137424,Batley Girls High School,WF17 0LD,53.731841,-1.645842
137487,Batley Grammar School,WF17 0AD,53.722001,-1.640727
114622,Battle Abbey School,TN33 0AD,50.914296,0.486795
144367,Baxter College,DY11 5PQ,52.388727,-2.270673
144646,Bay Leadership Academy,LA3 1AB,54.061,-2.876
116617,Baycroft School,PO14 2AE,50.821432,-1.204025
137259,Baylis Court School,SL1 3AH,51.525357,-0.608322
118109,Baysgarth School,DN18 6AE,53.682098,-0.432878
109409,Baytree School,BS24 7DX,51.35259,-2.914755
137982,Beacon Academy,TN6 2AS,51.0555,0.171975
139649,Beacon Academy,DN35 9NF,53.550395,-0.048791
100453,Beacon High,N7 0JG,51.553026,-0.129354
137705,Beacon Hill Academy,DY3 1BP,52.533418,-2.109769
138736,Beacon Hill Academy,RM15 5AY,51.512532,0.276879
112375,Beacon Hill Community School,CA7 3EZ,54.763754,-3.334269
131544,Beacon Hill School,NE28 9JW,55.006664,-1.535036
147733,Beacon Lights Schools,HX1 5JY,53.72171,-1.874924
140893,Beaconsfield High School,HP9 1RR,51.603923,-0.643767
140575,Beal High School,IG4 5LP,51.586,0.052
113884,Beaminster School,DT8 3EP,50.814623,-2.741008
139196,Beamont Collegiate Academy,WA2 8PX,53.407963,-2.588278
100989,Beatrice Tate School,E3 4PX,51.523753,-0.030441
139624,Beauchamp College,LE2 5TP,52.588213,-1.072392
115322,Beauchamps High School,SS11 8LY,51.612962,0.542068
113956,Beaucroft Foundation School,BH21 2SS,50.807343,-1.970684
138093,Beaumont Hill Academy,DL1 2AN,54.540636,-1.52778
120281,Beaumont Leys School,LE4 0FL,52.655908,-1.159528
138286,Beaumont School,AL4 0XB,51.755144,-0.299214
138274,Beccles High School,NR34 7BQ,52.451137,1.575079
138239,Becket Keys Church of England Free School,CM15 9DA,51.62713,0.301281
143112,Beckfoot Oakbank,BD22 7DU,53.854505,-1.926825
139975,Beckfoot School,BD16 1EE,53.840995,-1.827808
143114,Beckfoot Thornton,BD13 3BH,53.791417,-1.82165
142031,Beckfoot Upper Heaton,BD9 6AL,53.817548,-1.809328
148772,Beckmead College,SE25 5RR,51.39577,-0.081484
145591,Beckmead Park Academy,BR3 3BZ,51.3788,-0.027286
121670,Bedale High School,DL8 2EQ,54.283997,-1.590945
116527,Bedales School,GU32 2DG,51.02077,-0.942214
135619,Bede Academy,NE24 2SY,55.118011,-1.52095
114657,Bede's Senior School,BN27 3QH,50.86661,0.202536
142687,Bedelsford School,KT1 2QZ,51.406,-0.302
136085,Bedford Academy,MK42 9TR,52.117323,-0.451852
138228,Bedford Free School,MK42 9AD,52.132467,-0.467311
109727,Bedford Girls' School,MK42 0BX,52.13255,-0.461259
109717,Bedford Greenacre Independent School,MK40 2DL,52.144133,-0.482284
106523,Bedford High School,WN7 2LU,53.49352,-2.490161
109728,Bedford Modern School,MK41 7NT,52.14803,-0.481187
109718,Bedford School,MK40 2TU,52.141454,-0.46351
144977,Bedlington Academy,NE22 7DS,55.138022,-1.56366
138204,Bedminster Down School,BS13 7DQ,51.421403,-2.619908
123599,Bedstone College,SY7 0BG,52.373603,-2.930539
131181,Beech Grove School,CT15 4FB,51.228099,1.240728
111474,Beech Hall School,SK10 2EG,53.269784,-2.130648
105855,Beech House School,OL11 4JQ,53.610694,-2.165133
139414,Beech Lodge School,SL6 6QL,51.521878,-0.77939
135229,Beechcliffe Special School,BD20 6ED,53.880618,-1.91671
146972,Beechen Cliff School,BA2 4RE,51.37226,-2.360309
118949,Beechwood School,TN2 3QD,51.135932,0.286862
143327,Beechwood School,SL2 1QE,51.535277,-0.622739
136236,Begdale House School,PE14 0AZ,52.634947,0.151142
102171,Beis Chinuch Lebonos Girls School,N4 2SH,51.5712,-0.090933
135168,Beis Hatalmud School,M7 2FD,53.505186,-2.261788
136117,Beis Malka Girls school,M7 2BT,53.506239,-2.261312
100295,Beis Malka Girls' School,N16 6XD,51.566611,-0.069914
140492,Beis Medrash Elyon,NW9 7DG,51.57917,-0.241884
100293,Beis Rochel d'Satmar Girls' School,N16 5DL,51.574556,-0.079971
136086,Beis Ruchel Girls School,M7 4AJ,53.50642,-2.252538
131342,Beis Trana Girls' School,E5 9DH,51.567015,-0.060057
138698,Beis Yaakov High School,M7 4FF,53.510028,-2.259028
138174,Belfairs Academy,SS9 3TG,51.550252,0.640152
109382,Belgrave School,BS13 8RA,51.40624,-2.626921
138087,Belle Vue Girls' Academy,BD9 6NA,53.819896,-1.813449
148062,Belle Vue School,TN17 3JN,51.099247,0.536219
138183,Bellerive FCJ Catholic College,L17 3AA,53.384317,-2.945896
114308,Belmont Community School,DH1 2QP,54.785425,-1.527422
131697,Belmont Park School,E10 6DB,51.576582,-0.007967
131025,Belmont School,BB4 6RX,53.699059,-2.301674
147577,Belmont School,GL51 3AT,51.888278,-2.100355
147471,Belong School Devon,EX2 8PU,50.70525,-3.53159
146671,Belong School Gloucestershire,GL4 0UE,51.821779,-2.242623
112989,Belper School and Sixth Form Centre,DE56 0DA,53.02481,-1.454886
146506,Belvidere School,SY2 5LA,52.711126,-2.722127
101965,Belvue School,UB5 6AG,51.54275,-0.365045
118939,Benenden School,TN17 4AA,51.075242,0.571612
144271,Benfield School,NE6 4NU,54.989905,-1.559344
142759,Benjamin Britten Academy of Music and Mathematics,NR32 4PZ,52.497154,1.731614
135805,Benjamin College,HP19 7AR,51.818533,-0.843671
146052,Bennerley Fields School,DE7 8QZ,52.990071,-1.305681
136603,Bennett Memorial Diocesan School,TN4 9SH,51.142686,0.247922
101851,Bensham Manor School,CR7 7BN,51.395608,-0.099718
137178,Bentley Wood High School,HA7 3JW,51.617443,-0.335206
